dates,spei01,provenance
1901-01-16,-1,BIVG
1901-02-15,0.5,BIVG
1901-03-16,1.1,BIVG
1901-04-16,1,BIVG
1901-05-16,-1.1,BIVG
1901-06-16,-0.7,BIVG
1901-07-16,0,BIVG
1901-08-16,0.3,BIVG
1901-09-16,1.5,BIVG
1901-10-16,1,BIVG
1901-11-16,-1.4,BIVG
1901-12-16,1.2,BIVG
1902-01-16,0.1,BIVG
1902-02-15,0.3,BIVG
1902-03-16,0.8,BIVG
1902-04-16,-0.5,BIVG
1902-05-16,0.4,BIVG
1902-06-16,0.3,BIVG
1902-07-16,-0.5,BIVG
1902-08-16,0.9,BIVG
1902-09-16,-0.1,BIVG
1902-10-16,0.6,BIVG
1902-11-16,-0.5,BIVG
1902-12-16,-0.3,BIVG
1903-01-16,-1.1,BIVG
1903-02-15,-1.7,BIVG
1903-03-16,-0.6,BIVG
1903-04-16,1.5,BIVG
1903-05-16,-0.3,BIVG
1903-06-16,0.4,BIVG
1903-07-16,0.4,BIVG
1903-08-16,1.1,BIVG
1903-09-16,-1,BIVG
1903-10-16,1,BIVG
1903-11-16,-0.6,BIVG
1903-12-16,-0.3,BIVG
1904-01-16,-1.4,BIVG
1904-02-15,1.8,BIVG
1904-03-16,-0.6,BIVG
1904-04-16,-0.7,BIVG
1904-05-16,-0.5,BIVG
1904-06-16,0,BIVG
1904-07-16,-1.2,BIVG
1904-08-16,-0.7,BIVG
1904-09-16,0.6,BIVG
1904-10-16,-1.1,BIVG
1904-11-16,-1.5,BIVG
1904-12-16,-0.5,BIVG
1905-01-16,0.3,BIVG
1905-02-15,-1.1,BIVG
1905-03-16,0.3,BIVG
1905-04-16,-0.5,BIVG
1905-05-16,-0.6,BIVG
1905-06-16,-1,BIVG
1905-07-16,-1.2,BIVG
1905-08-16,1.3,BIVG
1905-09-16,0.9,BIVG
1905-10-16,-0.6,BIVG
1905-11-16,1.4,BIVG
1905-12-16,-1.4,BIVG
1906-01-16,0.5,BIVG
1906-02-15,0.9,BIVG
1906-03-16,-0.2,BIVG
1906-04-16,-0.5,BIVG
1906-05-16,-0.7,BIVG
1906-06-16,-1.5,BIVG
1906-07-16,-0.3,BIVG
1906-08-16,-1.5,BIVG
1906-09-16,-0.9,BIVG
1906-10-16,-1,BIVG
1906-11-16,1.2,BIVG
1906-12-16,0.6,BIVG
1907-01-16,-0.5,BIVG
1907-02-15,0.2,BIVG
1907-03-16,0.1,BIVG
1907-04-16,0.5,BIVG
1907-05-16,-0.1,BIVG
1907-06-16,0.5,BIVG
1907-07-16,-0.2,BIVG
1907-08-16,-1.5,BIVG
1907-09-16,-1,BIVG
1907-10-16,1.6,BIVG
1907-11-16,-1.3,BIVG
1907-12-16,0.5,BIVG
1908-01-16,-1.8,BIVG
1908-02-15,1.1,BIVG
1908-03-16,0,BIVG
1908-04-16,0.1,BIVG
1908-05-16,0,BIVG
1908-06-16,-0.5,BIVG
1908-07-16,0.7,BIVG
1908-08-16,0.4,BIVG
1908-09-16,0.1,BIVG
1908-10-16,-1.9,BIVG
1908-11-16,-0.6,BIVG
1908-12-16,-0.8,BIVG
1909-01-16,-0.6,BIVG
1909-02-15,-0.8,BIVG
1909-03-16,1.4,BIVG
1909-04-16,-0.3,BIVG
1909-05-16,-1.7,BIVG
1909-06-16,1.3,BIVG
1909-07-16,0.7,BIVG
1909-08-16,0,BIVG
1909-09-16,0.8,BIVG
1909-10-16,0.5,BIVG
1909-11-16,-1.2,BIVG
1909-12-16,0.8,BIVG
1910-01-16,1.6,BIVG
1910-02-15,1.8,BIVG
1910-03-16,-1,BIVG
1910-04-16,0,BIVG
1910-05-16,0.9,BIVG
1910-06-16,1.8,BIVG
1910-07-16,1.6,BIVG
1910-08-16,1.1,BIVG
1910-09-16,-0.4,BIVG
1910-10-16,0.8,BIVG
1910-11-16,2.1,BIVG
1910-12-16,1.7,BIVG
1911-01-16,-1.5,BIVG
1911-02-15,-0.6,BIVG
1911-03-16,-0.2,BIVG
1911-04-16,-0.5,BIVG
1911-05-16,-0.5,BIVG
1911-06-16,0.4,BIVG
1911-07-16,-1.6,BIVG
1911-08-16,-1,BIVG
1911-09-16,-0.7,BIVG
1911-10-16,0.6,BIVG
1911-11-16,0.7,BIVG
1911-12-16,0.9,BIVG
1912-01-16,0.2,BIVG
1912-02-15,-0.8,BIVG
1912-03-16,1.2,BIVG
1912-04-16,-0.8,BIVG
1912-05-16,-0.4,BIVG
1912-06-16,0.7,BIVG
1912-07-16,-0.1,BIVG
1912-08-16,2.2,BIVG
1912-09-16,-0.4,BIVG
1912-10-16,0.5,BIVG
1912-11-16,0,BIVG
1912-12-16,-0.7,BIVG
1913-01-16,0.3,BIVG
1913-02-15,-0.8,BIVG
1913-03-16,0.4,BIVG
1913-04-16,0.8,BIVG
1913-05-16,0.1,BIVG
1913-06-16,-0.2,BIVG
1913-07-16,1.6,BIVG
1913-08-16,0.3,BIVG
1913-09-16,0.6,BIVG
1913-10-16,0.1,BIVG
1913-11-16,1,BIVG
