dates;spei01;prov
16/01/1901;-1;BIVG
15/02/1901;0.5;BIVG
16/03/1901;1.1;BIVG
16/04/1901;1;BIVG
16/05/1901;-1.1;BIVG
16/06/1901;-0.7;BIVG
16/07/1901;0;BIVG
16/08/1901;0.3;BIVG
16/09/1901;1.5;BIVG
16/10/1901;1;BIVG
16/11/1901;-1.4;BIVG
16/12/1901;1.2;BIVG
16/01/1902;0.1;BIVG
15/02/1902;0.3;BIVG
16/03/1902;0.8;BIVG
16/04/1902;-0.5;BIVG
16/05/1902;0.4;BIVG
16/06/1902;0.3;BIVG
16/07/1902;-0.5;BIVG
16/08/1902;0.9;BIVG
16/09/1902;-0.1;BIVG
16/10/1902;0.6;BIVG
16/11/1902;-0.5;BIVG
16/12/1902;-0.3;BIVG
16/01/1903;-1.1;BIVG
15/02/1903;-1.7;BIVG
16/03/1903;-0.6;BIVG
16/04/1903;1.5;BIVG
16/05/1903;-0.3;BIVG
16/06/1903;0.4;BIVG
16/07/1903;0.4;BIVG
16/08/1903;1.1;BIVG
16/09/1903;-1;BIVG
16/10/1903;1;BIVG
16/11/1903;-0.6;BIVG
16/12/1903;-0.3;BIVG
16/01/1904;-1.4;BIVG
15/02/1904;1.8;BIVG
16/03/1904;-0.6;BIVG
16/04/1904;-0.7;BIVG
16/05/1904;-0.5;BIVG
16/06/1904;0;BIVG
16/07/1904;-1.2;BIVG
16/08/1904;-0.7;BIVG
16/09/1904;0.6;BIVG
16/10/1904;-1.1;BIVG
16/11/1904;-1.5;BIVG
16/12/1904;-0.5;BIVG
16/01/1905;0.3;BIVG
15/02/1905;-1.1;BIVG
16/03/1905;0.3;BIVG
16/04/1905;-0.5;BIVG
16/05/1905;-0.6;BIVG
16/06/1905;-1;BIVG
16/07/1905;-1.2;BIVG
16/08/1905;1.3;BIVG
16/09/1905;0.9;BIVG
16/10/1905;-0.6;BIVG
16/11/1905;1.4;BIVG
16/12/1905;-1.4;BIVG
16/01/1906;0.5;BIVG
15/02/1906;0.9;BIVG
16/03/1906;-0.2;BIVG
16/04/1906;-0.5;BIVG
16/05/1906;-0.7;BIVG
16/06/1906;-1.5;BIVG
16/07/1906;-0.3;BIVG
16/08/1906;-1.5;BIVG
16/09/1906;-0.9;BIVG
16/10/1906;-1;BIVG
16/11/1906;1.2;BIVG
16/12/1906;0.6;BIVG
16/01/1907;-0.5;BIVG
15/02/1907;0.2;BIVG
16/03/1907;0.1;BIVG
16/04/1907;0.5;BIVG
16/05/1907;-0.1;BIVG
16/06/1907;0.5;BIVG
16/07/1907;-0.2;BIVG
16/08/1907;-1.5;BIVG
16/09/1907;-1;BIVG
16/10/1907;1.6;BIVG
16/11/1907;-1.3;BIVG
16/12/1907;0.5;BIVG
16/01/1908;-1.8;BIVG
15/02/1908;1.1;BIVG
16/03/1908;0;BIVG
16/04/1908;0.1;BIVG
16/05/1908;0;BIVG
16/06/1908;-0.5;BIVG
16/07/1908;0.7;BIVG
16/08/1908;0.4;BIVG
16/09/1908;0.1;BIVG
16/10/1908;-1.9;BIVG
16/11/1908;-0.6;BIVG
16/12/1908;-0.8;BIVG
16/01/1909;-0.6;BIVG
15/02/1909;-0.8;BIVG
16/03/1909;1.4;BIVG
16/04/1909;-0.3;BIVG
16/05/1909;-1.7;BIVG
16/06/1909;1.3;BIVG
16/07/1909;0.7;BIVG
16/08/1909;0;BIVG
16/09/1909;0.8;BIVG
16/10/1909;0.5;BIVG
16/11/1909;-1.2;BIVG
16/12/1909;0.8;BIVG
16/01/1910;1.6;BIVG
15/02/1910;1.8;BIVG
16/03/1910;-1;BIVG
16/04/1910;0;BIVG
16/05/1910;0.9;BIVG
16/06/1910;1.8;BIVG
16/07/1910;1.6;BIVG
16/08/1910;1.1;BIVG
16/09/1910;-0.4;BIVG
16/10/1910;0.8;BIVG
16/11/1910;2.1;BIVG
16/12/1910;1.7;BIVG
16/01/1911;-1.5;BIVG
15/02/1911;-0.6;BIVG
16/03/1911;-0.2;BIVG
16/04/1911;-0.5;BIVG
16/05/1911;-0.5;BIVG
16/06/1911;0.4;BIVG
16/07/1911;-1.6;BIVG
16/08/1911;-1;BIVG
16/09/1911;-0.7;BIVG
16/10/1911;0.6;BIVG
16/11/1911;0.7;BIVG
16/12/1911;0.9;BIVG
16/01/1912;0.2;BIVG
15/02/1912;-0.8;BIVG
16/03/1912;1.2;BIVG
16/04/1912;-0.8;BIVG
16/05/1912;-0.4;BIVG
16/06/1912;0.7;BIVG
16/07/1912;-0.1;BIVG
16/08/1912;2.2;BIVG
16/09/1912;-0.4;BIVG
16/10/1912;0.5;BIVG
16/11/1912;0;BIVG
16/12/1912;-0.7;BIVG
16/01/1913;0.3;BIVG
15/02/1913;-0.8;BIVG
16/03/1913;0.4;BIVG
16/04/1913;0.8;BIVG
16/05/1913;0.1;BIVG
16/06/1913;-0.2;BIVG
16/07/1913;1.6;BIVG
16/08/1913;0.3;BIVG
16/09/1913;0.6;BIVG
16/10/1913;0.1;BIVG
16/11/1913;1;BIVG
16/12/1913;0.2;BIVG
16/01/1914;-1;BIVG
15/02/1914;-0.4;BIVG
16/03/1914;1.8;BIVG
16/04/1914;-1;BIVG
16/05/1914;1.3;BIVG
16/06/1914;0.8;BIVG
16/07/1914;1.3;BIVG
16/08/1914;0.6;BIVG
16/09/1914;0;BIVG
16/10/1914;-0.1;BIVG
16/11/1914;0.2;BIVG
16/12/1914;0.9;BIVG
16/01/1915;1.4;BIVG
15/02/1915;1.2;BIVG
16/03/1915;0.2;BIVG
16/04/1915;0.3;BIVG
16/05/1915;-0.4;BIVG
16/06/1915;-0.2;BIVG
16/07/1915;0.6;BIVG
16/08/1915;-0.3;BIVG
16/09/1915;0.4;BIVG
16/10/1915;-0.9;BIVG
16/11/1915;0.2;BIVG
16/12/1915;0.1;BIVG
16/01/1916;-1.3;BIVG
15/02/1916;1.4;BIVG
16/03/1916;0.1;BIVG
16/04/1916;0;BIVG
16/05/1916;-0.5;BIVG
16/06/1916;0.4;BIVG
16/07/1916;1.3;BIVG
16/08/1916;0.3;BIVG
16/09/1916;1.2;BIVG
16/10/1916;1.1;BIVG
16/11/1916;0.4;BIVG
16/12/1916;0.7;BIVG
16/01/1917;-0.1;BIVG
15/02/1917;-1.1;BIVG
16/03/1917;0.8;BIVG
16/04/1917;0.8;BIVG
16/05/1917;-0.2;BIVG
16/06/1917;0.2;BIVG
16/07/1917;1.3;BIVG
16/08/1917;1.2;BIVG
16/09/1917;-1.1;BIVG
16/10/1917;1.9;BIVG
16/11/1917;-0.4;BIVG
16/12/1917;-1.3;BIVG
16/01/1918;-0.6;BIVG
15/02/1918;-1.2;BIVG
16/03/1918;-0.6;BIVG
16/04/1918;1.5;BIVG
16/05/1918;-0.6;BIVG
16/06/1918;0.5;BIVG
16/07/1918;-0.6;BIVG
16/08/1918;-0.9;BIVG
16/09/1918;1.1;BIVG
16/10/1918;-0.3;BIVG
16/11/1918;-0.3;BIVG
16/12/1918;1.7;BIVG
16/01/1919;0;BIVG
15/02/1919;1.3;BIVG
16/03/1919;1.4;BIVG
16/04/1919;1.2;BIVG
16/05/1919;-1.2;BIVG
16/06/1919;-1.2;BIVG
16/07/1919;1.1;BIVG
16/08/1919;-1.6;BIVG
16/09/1919;-0.6;BIVG
16/10/1919;-0.1;BIVG
16/11/1919;1.5;BIVG
16/12/1919;1.5;BIVG
16/01/1920;-0.4;BIVG
15/02/1920;-1.7;BIVG
16/03/1920;1.1;BIVG
16/04/1920;0.7;BIVG
16/05/1920;-0.8;BIVG
16/06/1920;-0.5;BIVG
16/07/1920;0.6;BIVG
16/08/1920;-0.3;BIVG
16/09/1920;0.9;BIVG
16/10/1920;-1.4;BIVG
16/11/1920;-2.2;BIVG
16/12/1920;-1.1;BIVG
16/01/1921;-0.6;BIVG
15/02/1921;-1.6;BIVG
16/03/1921;-1.4;BIVG
16/04/1921;-0.8;BIVG
16/05/1921;0.7;BIVG
16/06/1921;-1.2;BIVG
16/07/1921;-1.3;BIVG
16/08/1921;1.1;BIVG
16/09/1921;-0.8;BIVG
16/10/1921;-1.9;BIVG
16/11/1921;-1.1;BIVG
16/12/1921;-1.2;BIVG
16/01/1922;1.3;BIVG
15/02/1922;0;BIVG
16/03/1922;0.5;BIVG
16/04/1922;2.2;BIVG
16/05/1922;-1.7;BIVG
16/06/1922;-0.3;BIVG
16/07/1922;0.7;BIVG
16/08/1922;0.4;BIVG
16/09/1922;0.4;BIVG
16/10/1922;0.5;BIVG
16/11/1922;0.3;BIVG
16/12/1922;0.7;BIVG
16/01/1923;-0.6;BIVG
15/02/1923;1.2;BIVG
16/03/1923;0.2;BIVG
16/04/1923;0;BIVG
16/05/1923;0.6;BIVG
16/06/1923;-0.4;BIVG
